id,employee_id,exit_date,department,reason,regretted
ext_0001,emp_0077,2025-07-04,people_ops,relocation,False
ext_0002,emp_0244,2025-07-04,finance,retirement,False
ext_0003,emp_0020,2025-07-04,support,retirement,False
ext_0004,emp_0258,2025-07-04,finance,better_offer,False
ext_0005,emp_0247,2025-07-04,engineering,retirement,False
ext_0006,emp_0277,2025-07-04,support,return_to_school,False
ext_0007,emp_0333,2025-07-04,finance,performance,False
ext_0008,emp_0023,2025-07-05,finance,performance,False
ext_0009,emp_0118,2025-07-05,finance,performance,False
ext_0010,emp_0196,2025-07-05,marketing,return_to_school,False
ext_0011,emp_0295,2025-07-05,marketing,relocation,False
ext_0012,emp_0131,2025-07-05,marketing,relocation,False
ext_0013,emp_0043,2025-07-05,finance,retirement,False
ext_0014,emp_0132,2025-07-06,engineering,return_to_school,False
ext_0015,emp_0004,2025-07-06,sales,better_offer,False
ext_0016,emp_0267,2025-07-06,marketing,return_to_school,True
ext_0017,emp_0106,2025-07-06,sales,career_change,False
ext_0018,emp_0210,2025-07-06,finance,relocation,False
ext_0019,emp_0219,2025-07-06,support,career_change,False
ext_0020,emp_0134,2025-07-06,finance,performance,False
ext_0021,emp_0314,2025-07-07,support,return_to_school,False
ext_0022,emp_0204,2025-07-07,engineering,performance,False
ext_0023,emp_0283,2025-07-07,support,performance,False
ext_0024,emp_0092,2025-07-07,finance,retirement,False
ext_0025,emp_0248,2025-07-07,support,career_change,False
ext_0026,emp_0296,2025-07-07,people_ops,return_to_school,False
ext_0027,emp_0071,2025-07-08,support,return_to_school,False
ext_0028,emp_0061,2025-07-08,people_ops,performance,False
ext_0029,emp_0083,2025-07-08,people_ops,retirement,False
ext_0030,emp_0206,2025-07-08,marketing,retirement,False
ext_0031,emp_0315,2025-07-08,support,return_to_school,False
ext_0032,emp_0027,2025-07-08,people_ops,return_to_school,False
ext_0033,emp_0003,2025-07-08,marketing,relocation,False
ext_0034,emp_0308,2025-07-09,support,better_offer,False
ext_0035,emp_0135,2025-07-09,finance,better_offer,False
ext_0036,emp_0312,2025-07-09,sales,performance,True
ext_0037,emp_0206,2025-07-09,marketing,retirement,False
ext_0038,emp_0147,2025-07-09,engineering,retirement,False
ext_0039,emp_0030,2025-07-09,engineering,relocation,False
ext_0040,emp_0328,2025-07-09,marketing,better_offer,False
ext_0041,emp_0337,2025-07-10,finance,retirement,False
ext_0042,emp_0147,2025-07-10,engineering,retirement,False
ext_0043,emp_0262,2025-07-10,engineering,relocation,False
ext_0044,emp_0315,2025-07-10,support,better_offer,False
ext_0045,emp_0185,2025-07-10,people_ops,better_offer,False
ext_0046,emp_0045,2025-07-11,engineering,performance,False
ext_0047,emp_0181,2025-07-11,engineering,performance,False
ext_0048,emp_0301,2025-07-11,engineering,better_offer,False
ext_0049,emp_0036,2025-07-11,sales,retirement,False
ext_0050,emp_0146,2025-07-11,people_ops,retirement,False
ext_0051,emp_0178,2025-07-12,engineering,career_change,False
ext_0052,emp_0116,2025-07-12,marketing,relocation,False
ext_0053,emp_0233,2025-07-12,support,retirement,False
ext_0054,emp_0003,2025-07-12,marketing,performance,False
ext_0055,emp_0260,2025-07-12,sales,better_offer,False
ext_0056,emp_0258,2025-07-12,finance,better_offer,False
ext_0057,emp_0276,2025-07-13,people_ops,retirement,False
ext_0058,emp_0129,2025-07-13,sales,performance,False
ext_0059,emp_0289,2025-07-13,support,relocation,False
ext_0060,emp_0174,2025-07-13,sales,performance,False
ext_0061,emp_0349,2025-07-13,sales,retirement,False
ext_0062,emp_0015,2025-07-13,sales,career_change,False
ext_0063,emp_0196,2025-07-14,marketing,relocation,False
ext_0064,emp_0347,2025-07-14,marketing,career_change,False
ext_0065,emp_0212,2025-07-14,finance,retirement,False
ext_0066,emp_0275,2025-07-14,engineering,career_change,True
ext_0067,emp_0148,2025-07-15,sales,return_to_school,False
ext_0068,emp_0176,2025-07-15,finance,relocation,True
ext_0069,emp_0244,2025-07-15,finance,relocation,False
ext_0070,emp_0294,2025-07-15,marketing,return_to_school,False
ext_0071,emp_0350,2025-07-15,people_ops,relocation,False
ext_0072,emp_0103,2025-07-16,marketing,relocation,False
ext_0073,emp_0136,2025-07-16,support,relocation,False
ext_0074,emp_0128,2025-07-16,support,career_change,False
ext_0075,emp_0080,2025-07-16,finance,better_offer,False
ext_0076,emp_0041,2025-07-16,sales,return_to_school,False
ext_0077,emp_0253,2025-07-16,finance,retirement,False
ext_0078,emp_0022,2025-07-16,marketing,career_change,False
ext_0079,emp_0253,2025-07-17,finance,retirement,False
ext_0080,emp_0141,2025-07-17,engineering,retirement,False
ext_0081,emp_0144,2025-07-17,finance,retirement,False
ext_0082,emp_0066,2025-07-17,support,performance,True
ext_0083,emp_0245,2025-07-17,people_ops,better_offer,False
ext_0084,emp_0258,2025-07-17,finance,return_to_school,False
ext_0085,emp_0235,2025-07-18,engineering,return_to_school,False
ext_0086,emp_0266,2025-07-18,sales,return_to_school,False
ext_0087,emp_0005,2025-07-18,sales,relocation,True
ext_0088,emp_0195,2025-07-18,marketing,career_change,False
ext_0089,emp_0186,2025-07-18,sales,career_change,False
ext_0090,emp_0281,2025-07-19,finance,career_change,False
ext_0091,emp_0242,2025-07-19,people_ops,career_change,False
ext_0092,emp_0188,2025-07-19,marketing,performance,False
ext_0093,emp_0108,2025-07-19,sales,career_change,False
ext_0094,emp_0187,2025-07-19,sales,career_change,False
ext_0095,emp_0093,2025-07-20,people_ops,retirement,False
ext_0096,emp_0118,2025-07-20,finance,return_to_school,False
ext_0097,emp_0139,2025-07-20,marketing,retirement,False
ext_0098,emp_0222,2025-07-20,finance,relocation,False
ext_0099,emp_0075,2025-07-20,finance,return_to_school,False
ext_0100,emp_0077,2025-07-20,people_ops,better_offer,False
ext_0101,emp_0091,2025-07-20,sales,relocation,False
ext_0102,emp_0250,2025-07-21,finance,retirement,False
ext_0103,emp_0291,2025-07-21,sales,better_offer,True
ext_0104,emp_0084,2025-07-21,engineering,career_change,True
ext_0105,emp_0244,2025-07-21,finance,better_offer,False
ext_0106,emp_0231,2025-07-21,finance,career_change,False
ext_0107,emp_0185,2025-07-21,people_ops,retirement,False
ext_0108,emp_0177,2025-07-22,support,better_offer,True
ext_0109,emp_0180,2025-07-22,sales,retirement,False
ext_0110,emp_0102,2025-07-22,engineering,return_to_school,False
ext_0111,emp_0333,2025-07-22,finance,career_change,False
ext_0112,emp_0182,2025-07-22,people_ops,retirement,False
ext_0113,emp_0250,2025-07-22,finance,performance,False
ext_0114,emp_0196,2025-07-23,marketing,performance,False
ext_0115,emp_0324,2025-07-23,marketing,relocation,False
ext_0116,emp_0328,2025-07-23,marketing,career_change,False
ext_0117,emp_0216,2025-07-23,engineering,retirement,False
ext_0118,emp_0037,2025-07-24,support,career_change,True
ext_0119,emp_0117,2025-07-24,engineering,return_to_school,False
ext_0120,emp_0150,2025-07-24,marketing,retirement,False
ext_0121,emp_0331,2025-07-24,support,performance,False
ext_0122,emp_0186,2025-07-24,sales,retirement,False
ext_0123,emp_0231,2025-07-24,finance,relocation,False
ext_0124,emp_0012,2025-07-24,support,relocation,False
ext_0125,emp_0041,2025-07-25,sales,performance,False
ext_0126,emp_0053,2025-07-25,people_ops,performance,False
ext_0127,emp_0281,2025-07-25,finance,performance,True
ext_0128,emp_0269,2025-07-25,engineering,better_offer,False
ext_0129,emp_0054,2025-07-25,marketing,relocation,False
ext_0130,emp_0044,2025-07-25,sales,performance,False
ext_0131,emp_0118,2025-07-26,finance,career_change,False
ext_0132,emp_0227,2025-07-26,finance,relocation,False
ext_0133,emp_0270,2025-07-26,marketing,better_offer,False
ext_0134,emp_0018,2025-07-26,sales,career_change,False
ext_0135,emp_0244,2025-07-26,finance,retirement,False
ext_0136,emp_0140,2025-07-26,engineering,relocation,False
ext_0137,emp_0303,2025-07-27,finance,return_to_school,False
ext_0138,emp_0326,2025-07-27,finance,performance,False
ext_0139,emp_0269,2025-07-27,engineering,retirement,False
ext_0140,emp_0159,2025-07-27,sales,performance,False
ext_0141,emp_0277,2025-07-27,support,better_offer,False
ext_0142,emp_0158,2025-07-28,people_ops,career_change,False
ext_0143,emp_0080,2025-07-28,finance,better_offer,False
ext_0144,emp_0268,2025-07-28,sales,relocation,False
ext_0145,emp_0177,2025-07-28,support,retirement,False
ext_0146,emp_0005,2025-07-28,sales,performance,False
ext_0147,emp_0245,2025-07-28,people_ops,performance,False
ext_0148,emp_0150,2025-07-28,marketing,better_offer,False
ext_0149,emp_0097,2025-07-29,finance,retirement,False
ext_0150,emp_0224,2025-07-29,engineering,relocation,False
ext_0151,emp_0331,2025-07-29,support,performance,False
ext_0152,emp_0113,2025-07-29,finance,performance,False
ext_0153,emp_0321,2025-07-29,marketing,retirement,False
ext_0154,emp_0140,2025-07-29,engineering,return_to_school,False
ext_0155,emp_0212,2025-07-30,finance,better_offer,False
ext_0156,emp_0094,2025-07-30,engineering,better_offer,False
ext_0157,emp_0327,2025-07-30,marketing,performance,False
ext_0158,emp_0140,2025-07-30,engineering,performance,False
ext_0159,emp_0097,2025-07-30,finance,relocation,False
ext_0160,emp_0026,2025-07-30,engineering,better_offer,False
ext_0161,emp_0053,2025-07-31,people_ops,relocation,False
ext_0162,emp_0225,2025-07-31,sales,relocation,False
ext_0163,emp_0047,2025-07-31,sales,performance,False
ext_0164,emp_0112,2025-07-31,engineering,career_change,False
ext_0165,emp_0256,2025-07-31,sales,performance,False
ext_0166,emp_0170,2025-08-01,marketing,relocation,False
ext_0167,emp_0029,2025-08-01,engineering,performance,False
ext_0168,emp_0037,2025-08-01,support,relocation,False
ext_0169,emp_0099,2025-08-01,marketing,career_change,False
ext_0170,emp_0007,2025-08-02,people_ops,return_to_school,False
ext_0171,emp_0128,2025-08-02,support,performance,False
ext_0172,emp_0127,2025-08-02,support,better_offer,False
ext_0173,emp_0102,2025-08-02,engineering,better_offer,False
ext_0174,emp_0267,2025-08-02,marketing,relocation,False
ext_0175,emp_0243,2025-08-02,sales,career_change,False
ext_0176,emp_0166,2025-08-02,engineering,return_to_school,False
ext_0177,emp_0282,2025-08-03,finance,career_change,False
ext_0178,emp_0247,2025-08-03,engineering,relocation,False
ext_0179,emp_0185,2025-08-03,people_ops,return_to_school,False
ext_0180,emp_0112,2025-08-03,engineering,relocation,False
ext_0181,emp_0167,2025-08-04,engineering,career_change,True
ext_0182,emp_0300,2025-08-04,sales,relocation,False
ext_0183,emp_0005,2025-08-04,sales,retirement,False
ext_0184,emp_0244,2025-08-04,finance,relocation,False
ext_0185,emp_0191,2025-08-04,engineering,relocation,False
ext_0186,emp_0081,2025-08-04,support,return_to_school,False
ext_0187,emp_0317,2025-08-04,people_ops,return_to_school,False
ext_0188,emp_0031,2025-08-05,sales,relocation,False
ext_0189,emp_0275,2025-08-05,engineering,relocation,False
ext_0190,emp_0250,2025-08-05,finance,retirement,False
ext_0191,emp_0331,2025-08-05,support,performance,False
ext_0192,emp_0011,2025-08-06,marketing,career_change,False
ext_0193,emp_0069,2025-08-06,engineering,better_offer,False
ext_0194,emp_0249,2025-08-06,marketing,retirement,False
ext_0195,emp_0151,2025-08-06,marketing,performance,False
ext_0196,emp_0098,2025-08-06,marketing,retirement,False
ext_0197,emp_0166,2025-08-07,engineering,career_change,False
ext_0198,emp_0307,2025-08-07,sales,retirement,False
